sample_id,label,o__Synergistales,o__Bacteroidales,o__Coriobacteriales,o__Eubacteriales,o__Acidaminococcales,o__Desulfovibrionales,o__Lactobacillales,o__Eggerthellales,o__Erysipelotrichales,o__Enterobacterales,o__Bifidobacteriales,o__Candidatus_Saccharimonadales,o__OFGB15212,o__Candidatus_Saccharibacteria_unclassified,o__OFGB1226,o__OFGB1262,o__Selenomonadales,o__OFGB1126,o__Actinomycetales,o__Burkholderiales,o__OFGB1776,o__OFGB14936,o__OFGB2982,o__OFGB1765,o__OFGB3069,o__OFGB1217,o__OFGB75721,o__Pasteurellales,o__OFGB3048,o__OFGB3038,o__OFGB1011,o__Clostridia_unclassified,o__OFGB3047,o__Veillonellales,o__Bacteria_unclassified,o__OFGB3023,o__OFGB1354,o__OFGB2915,o__OFGB1227,o__OFGB3057,o__Verrucomicrobiales,o__OFGB1292,o__Firmicutes_unclassified,o__OFGB1380,o__OFGB3062,o__OFGB38642,o__OFGB77988,o__Propionibacteriales,o__OFGB45628,o__Candidatus_Nanogingivales,o__Bacillales,o__OFGB4806,o__Micrococcales,o__OFGB4605,o__OFGB1359,o__OFGB45503,o__OFGB72924,o__OFGB2997,o__OFGB3072,o__OFGB1325,o__OFGB2960,o__OFGB10477,o__OFGB32970,o__OFGB9989,o__Corynebacteriales,o__Fusobacteriales
CRR1012336,1,-4.711635338527974,8.178321733580544,1.7274853739427865,8.599529971887309,2.7169510428373784,4.109568715884096,2.7188162404939655,1.699712239693083,2.948342899816585,6.355807074351763,4.475098615043454,-0.4631415046408607,2.484621676789702,-0.3349816582730907,0.3969027506148233,-2.896346567902021,-4.1726394330327095,-2.82890530227332,0.29230954843480417,0.6476413059597714,5.156615832936795,3.9451444387733985,3.43134078320137,5.501549419231267,-2.3202560446022598,2.2664438299360423,-4.7857432007917495,-2.5800093027564652,1.0400284351879119,1.8917261706628117,-0.015060101748630237,1.1874775050047484,0.5693891096070349,4.8473866989877825,0.10979622061917585,1.5724973966376645,-3.290250741339695,0.7295433256950117,-3.2235593890879564,-3.713107410671604,-3.4188680718325295,-3.2398199046715312,-2.8620575022624255,-3.1165873022613515,-1.0892023742246608,6.3393212631950995,2.233139005504085,-4.865785780260363,-5.153467297157668,-5.74125218428754,-4.35496082316015,-3.7953454637958193,-5.404781090519553,0.9322946010845733,0.2218088985948089,-0.42509887995680806,5.086180698137404,-2.6593460309982757,-3.2235593890879564,5.505174497415526,0.23102555360534696,-4.259650734264829,-3.0880139379822245,-1.6705214194371905,-4.865785780260363,-1.5792529112783311
CRR1012349,0,-4.040803858348077,7.70860180895915,0.2671133948324434,9.769586765246451,-3.7894897475270852,1.5754462004493583,4.609744282058031,5.681091870117254,4.948799347097223,1.517676128694048,-1.8278321963641386,-0.27628838548634654,-0.26968770167284045,2.339801396685866,-4.194954300080465,-2.2255150877221235,0.5175727525329069,-0.3272331853709724,-0.7556067656432776,3.7170398701191187,7.024276060355121,-2.728618513337006,-0.8687215636768056,-0.6735094076709285,-1.6494245644223626,-3.2141260887342122,-4.114911720611852,-1.9091778225765679,1.587329574534508,2.7245631808038104,1.595513763396906,4.692029097886057,-0.6254232233160176,6.326303966513001,1.757854377711576,3.308333664848118,6.572465299864138,4.597011347074739,1.7703357103353754,1.613686903529103,-2.748036591652632,-2.568988424491634,3.2312954432989627,-2.445755822081454,-0.4183708940447634,-3.245874766887515,-2.310414510902197,-4.194954300080465,1.3638007422828073,-5.070420704107643,-1.9977312042243558,-3.124513983615922,-0.8687215636768056,-3.7894897475270852,-2.213954267994129,0.24573260022308943,-2.748036591652632,-1.2953674620015396,0.007246016270426084,-3.183354449006841,-3.245874766887515,-3.588819254084932,-2.417182457802327,-0.9996899392572931,-4.194954300080465,-0.9084214310984339
CRR1012358,0,-3.3856540470946874,7.9908806390728895,6.399362198329569,10.186022736160123,7.923253066560824,6.391337095113331,7.906708815086737,6.3702183181601875,5.957265837524733,6.421722291831918,8.241847894025307,2.623859467699804,0.3854621095805492,4.4501496964505565,-3.539804488827076,-1.570365276468734,-2.8466581415994225,-3.539804488827076,2.7725334344461476,3.397993246455498,-1.4295927531255825,-2.073468702083616,-0.21357175242341603,-0.01835959641753894,-0.994274753168973,-2.5589762774808227,-3.4597619093584626,1.412493573369501,-3.1343399362736957,-2.7288751985355586,-2.5907249556341254,2.9234832806313142,-3.7221257122883085,4.733275178598973,-1.4921130970733578,-1.734253090159398,-1.964269449906408,-2.4693641723625324,-3.6268157143018183,-2.3871261192383173,-2.0928867803992426,2.4211991884264523,-1.5360762108291386,-1.7906060108280646,0.2367789172086262,-2.5907249556341254,-1.6552646996488078,-3.539804488827076,-3.8274860057243814,1.8331547617854005,-1.3612735224890593,-2.4693641723625324,-4.078799799086266,-3.1343399362736957,-1.5588044567407395,0.900882411476479,-2.0928867803992426,-1.3333647395649886,-3.3856540470946874,-2.5282046377534515,-2.5907249556341254,-2.933669442831542,-1.7620326465489375,-0.34454012800390366,-3.539804488827076,-0.2532716198450442
CRR1012371,1,-4.725487055065256,7.6790309577584805,4.148739587134782,8.762296275857617,5.154854721487687,4.899201224185175,4.1961788490432435,4.973037434569139,5.861864016844546,3.6153425019289145,3.926685050419838,-0.1303686190710601,-0.9543708983900194,1.6649918502969325,-4.186491149569991,1.6014273735130495,-4.186491149569991,-4.879637496797645,0.903159856644973,3.5072175266050487,4.505648419449785,5.564130868185303,0.9896577543789498,-1.3581926043881076,-2.3341077611395415,-3.8988092854513914,-4.799594917329031,0.8230315879023233,1.3366342176061174,0.5670982153872953,-3.930557963604694,-2.9578263220842604,0.5919309917935671,0.8395791247935774,1.1324446749294277,0.9527319578555098,3.5039083434643925,-3.809197180333101,0.22529570904295776,0.35768894031608023,-2.5282637475692984,-3.253671621208813,3.5707729946193174,-3.1304390187986333,4.270384872682234,4.140045015130922,2.9210017396295016,-4.879637496797645,-2.7201547218018765,-5.755103900824822,1.140979577344577,-3.809197180333101,-0.6925128424734004,-4.474172944244264,1.4254188409264084,1.1172274370782729,0.9854114635175331,-0.4041980651742834,-4.725487055065256,-3.86803764572402,-3.930557963604694,-4.273502450802111,-3.1018656545195062,-1.6843731359744722,-4.879637496797645,-1.593104627815613
CRR1012380,0,-4.59271277048571,5.90572870631282,8.042829752786988,8.913964969925965,0.8692999805124498,2.540125604617796,5.914632541591778,5.069693111588918,5.947164980255283,4.813157711599526,5.926086397619899,-0.12516537455063112,-0.8215966138104724,3.85653658965188,-4.746863212218098,-2.7774239998597556,6.086336248114144,-4.746863212218098,4.3860363378583465,2.1097725306742294,-0.6332624728089041,-3.280527425474638,-1.4206304758144377,-1.2254183198085606,-2.2013334765599946,0.9945344646945871,-4.666820632749484,0.810606482932772,2.8890024564992633,-3.9359339219265803,-2.6266011426833042,2.8728593357170897,0.9344447456025853,3.436625571116964,2.58080614960008,-2.9413118135504197,-3.1713281732974297,-3.6764228957535536,0.6846713387448298,-3.594184842629339,5.311001898861525,2.9048891116081568,2.642493166217503,3.3645131436605773,-0.9702798061823955,-3.797783679025147,-2.8623234230398293,-0.4795011291651481,-5.034544729115403,1.689018362464652,0.47619001214884016,-3.6764228957535536,0.7825642152418043,-4.341398659664717,-2.765863180131761,-0.30617631191454264,-3.2999455037902643,-2.5404234629560105,-4.59271277048571,-3.735263361144473,-3.797783679025147,-4.140728166222564,-2.9690913699399593,-1.551598851394925,0.7509861801656756,-1.460330343236066
CRR1012436,1,-4.293113249555038,8.213064676260233,5.491275582721273,9.146957841573714,4.68451870129799,1.6608704996667938,3.605455545305727,5.257944005266815,4.9900246464794655,3.4937930218949105,4.608718757705709,1.1424770735525973,3.5852571677156067,1.85657387724621,1.6330491564985423,-2.477824478929085,-3.7541173440597735,-4.447263691287427,-1.7616878990661962,3.740080272277542,7.181509422404366,7.028989207009986,4.97533286396321,4.387508456503812,2.5544355353891803,2.336814561554292,1.76767602159183,1.6593862693441699,1.6349535562289166,1.398691610303316,0.9053823610330392,0.6875522158555075,0.6865703797528908,1.244219594517387,0.4542988534807627,0.2637652337273675,-0.21557721000665234,-0.8096791543666708,-1.520525866599955,-2.1446800982920062,-3.0003459828595935,-2.8212978156985953,-2.4435354132894895,-2.6980652132884155,-0.6706802852517246,-3.4981841580944764,-2.5627239021091586,-4.447263691287427,-4.734945208184732,-5.322730095314604,-3.936438734187214,-3.3768233748228833,-4.986259001546617,-4.041799138734047,-2.4662636592010903,-0.006576790983871968,-3.0003459828595935,-2.2408239420253397,-4.293113249555038,-3.4356638402138024,-3.4981841580944764,-3.841128645291893,-2.6694918490092885,-1.2519993304642545,-4.447263691287427,-1.1607308223053951
CRR1012452,1,-4.289054318546075,7.098583424476084,6.680557796649447,9.06588267915975,-1.0146100170394194,5.294846184053181,4.193220599358695,4.437657183155321,7.084753781074174,4.2589991424799285,8.33639712163321,1.6511155093633465,-0.5179381618708386,1.7052618725351585,-4.443204760278464,3.1639265831771337,4.21589133760017,-4.443204760278464,2.247635852545215,2.2699522663935294,-2.3329930245769703,1.468493156208013,-1.116972023874804,-0.9217598678689267,-1.8976750246203609,-3.4623765489322107,-4.363162180809851,0.6525866856969023,-4.037740207725084,-3.6322754699869466,1.5126309468388783,0.874913575070409,-4.6255259837396965,2.624823599993463,-0.32688293082895314,2.065562712511795,4.555960136537312,-3.37276444381392,-4.530215985753206,2.6721048813651707,5.328481565907696,3.413242235665462,-2.4394764822805266,1.7323142862366077,-0.6666213542427617,-3.4941252270855134,-2.5586649711001956,1.0192119573568568,-4.730886277175769,-0.6181947621415899,-0.2535516596647914,-3.37276444381392,-0.9985238801503595,-4.037740207725084,-2.4622047281921273,-0.0025178599749088944,-2.9962870518506306,-2.2367650110163764,-4.289054318546075,-3.431604909204839,-3.4941252270855134,-3.83706971428293,-2.6654329180003256,-1.2479403994552913,0.693571931787188,-1.1566718912964322
CRR1012459,1,1.409866657077281,8.296241228915585,-3.6081914116338303,8.922688690753704,-4.2441796554784545,3.3669470140458255,4.8896984394126966,5.596278235400378,6.462336741344474,5.7840237509962735,4.863585328139916,-4.831965431493067,-0.7243776096242098,-4.649644208031835,1.4180078146294195,1.0618842922625933,-3.9564978608041814,-4.649644208031835,-5.055108482808402,2.23381671342363,-2.5394324723303416,4.8941980461087695,4.773033219561842,-1.1281993156222978,3.0149353622900743,3.503607955919121,0.0850895302869105,-2.363867730527937,1.7012398449262944,2.770034424493217,2.187508098890066,-0.7510458558173242,-4.831965431493067,-4.495493766299447,1.2025566098666336,1.6083409502188526,5.787211266088786,1.0133146112258702,-4.736655433506577,0.8191172611920914,5.70480051761006,2.917355034031357,2.1584732159509588,-2.900445730032823,4.950718785011994,-3.7005646748388847,-2.7651044188535665,-4.649644208031835,-2.1509457657904845,-5.525110612059012,-4.138819250931622,-3.5792038915672912,-5.1886395182910245,-4.2441796554784545,0.883084642015322,-0.2089573077282799,-2.5095795151224296,-2.4432044587697477,-4.495493766299447,3.8638404551223693,-3.7005646748388847,4.192838227268595,-0.10281124805414056,-1.4543798472086624,-4.649644208031835,-1.363111339049803
CRR1012463,1,-2.9240040642744733,9.739899240483881,9.527375245666546,10.494864477576472,0.6555373370722257,4.848987796789078,5.768148901198872,6.16885358382172,4.026535566823771,8.59948397604296,7.53881209255768,-3.2604757294680944,0.8471120924007632,-3.078154506006862,-3.078154506006862,-1.1087152936485198,4.225911344408554,-3.078154506006862,0.43338931591012353,-0.6072356240138187,-0.9679427703053685,4.223104088623925,0.24807823039679816,1.1364375423320794,-0.5326247703487589,-2.0973262946606086,-2.9981119265382485,-0.7923780285029641,-2.6726899534534816,-2.2672252157153445,-2.129074972813912,-2.9981119265382485,-3.2604757294680944,-0.5391821700349249,-1.0304631142531437,-1.2726031073391837,-1.5026194670861939,-2.0077141895423183,-3.165165731481604,-1.9254761364181032,-1.6312367975790285,4.721938618044466,-1.0744262280089245,-1.3289560280078503,0.6984289000288403,-2.129074972813912,-1.1936147168285935,-3.078154506006862,-3.3658360229041673,-3.9536209100340396,-2.567329548906649,-2.0077141895423183,1.5468166569520003,-2.6726899534534816,-1.0971544739205255,1.362532394296693,3.0980575412265434,-0.8717147567447746,-2.9240040642744733,-2.0665546549332374,-2.129074972813912,-2.472019460011328,-1.3003826637287235,0.11710985481631048,-3.078154506006862,0.20837836297516976
CRR1012467,1,-3.6867972887095424,9.27194697595957,3.291814361129499,10.028943279911829,-3.4354831778885506,1.9556148160632496,5.521525337723282,4.761993264623681,6.11183612722953,2.252620376700154,5.307621948648628,-4.023268953903163,0.08431886796569417,-3.840947730441931,-3.840947730441931,-1.871508518083589,-3.1478013832142775,0.37364431789701025,-4.246412005218498,5.420907577812979,-1.7307359947404375,-2.374611943698471,-0.5147149940382709,-0.3195028380323939,-1.2954179947838278,2.6843246126003346,2.695983719625179,1.93824972198573,0.7725196082245029,-1.0077359550117817,-2.8918681972489804,-3.7609051509733176,2.2514910711072535,6.279086673977044,2.872614154534368,2.4747099483976664,-2.265412691521263,0.4875885745937082,-3.927958955916673,-2.6882693608531723,3.2603146294328846,3.146079064309082,3.3130147074230654,3.9251143319172,-0.06436432440622882,4.779371820114809,-1.9564079412636628,-3.840947730441931,-4.128629247339236,-4.716414134469108,-3.330122773341718,-2.7705074139773873,-0.07974924265395729,-3.4354831778885506,-1.8599476983555943,0.599739169861624,-2.3940300220140975,3.330963410559506,-3.6867972887095424,-2.8293478793683065,-2.8918681972489804,-3.234812684446397,-2.0631758881637925,-0.6456833696187586,-3.840947730441931,-0.5544148614598992
