feature,coefficient,abs_coefficient
o__Selenomonadales,0.13561926890298587,0.13561926890298587
o__OFGB38642,0.10857810103501093,0.10857810103501093
o__Firmicutes_unclassified,-0.10810689194206997,0.10810689194206997
o__OFGB1217,0.105399270036935,0.105399270036935
o__Bacteroidales,0.09401302598830286,0.09401302598830286
o__OFGB2960,-0.07321910863555837,0.07321910863555837
o__Candidatus_Saccharibacteria_unclassified,-0.07270776509166706,0.07270776509166706
o__OFGB618,0.07041212843284447,0.07041212843284447
o__OFGB3048,-0.06984155788723241,0.06984155788723241
o__OFGB75721,0.066449484208691,0.066449484208691
o__Veillonellales,-0.06569157211597612,0.06569157211597612
o__Clostridia_unclassified,-0.05967915288140601,0.05967915288140601
o__Acidaminococcales,-0.04607571650919589,0.04607571650919589
o__OFGB1765,-0.044721509912316576,0.044721509912316576
o__OFGB1380,0.044397920843211834,0.044397920843211834
o__OFGB3038,0.04050062827886771,0.04050062827886771
o__Tissierellales,-0.03788906136059841,0.03788906136059841
o__Candidatus_Nanogingivales,-0.01810190625463986,0.01810190625463986
o__OFGB4806,-0.015706060025731907,0.015706060025731907
o__Eubacteriales,0.012150095629247867,0.012150095629247867
o__Verrucomicrobiales,0.009469197106607133,0.009469197106607133
o__Bacillales,0.00761041969433562,0.00761041969433562
o__OFGB3072,0.004059889114948335,0.004059889114948335
o__Synergistales,-0.001878393177463994,0.001878393177463994
o__Enterobacterales,0.0017592125295974462,0.0017592125295974462
