feature,importance
g__Sellimonas,0.0021276776722616154
g__GGB51959,0.00212683204533192
g__Fusicatenibacter,0.002123239183393793
g__GGB4683,0.002117379187586767
g__GGB3277,0.002111085707721195
g__Frisingicoccus,0.0020949361333649974
g__Jingyaoa,0.0020788274406157575
g__Ligaoa,0.0020667955750039066
g__GGB3278,0.002063920287375752
g__GGB9719,0.0020623525081259783
g__GGB3537,0.0020445105331710484
g__Enorma,0.002043129705610803
g__Mesosutterella,0.0020347129259010756
g__Segatella,0.002031625020338884
g__GGB4605,0.002003495460086202
g__GGB52130,0.002000765345308997
g__Weissella,0.0019985181651185667
g__GGB9786,0.0019239733556885375
g__GGB1549,0.0018799134495502176
g__Slackia,0.0018536828081041209
g__GGB3612,0.0018519315199446668
g__GGB3256,0.0018174567827212978
g__GGB9790,0.0018063750164654497
g__GGB9635,0.0017926513338421843
g__GGB9708,0.001784859587480327
g__Wansuia,0.0017834090197828398
g__Faecalimonas,0.0017782760695173076
g__Jilunia,0.00177145221714305
g__GGB9602,0.0017519747126218837
g__GGB9597,0.0017495052129466138
g__Propionibacterium,0.0017211975836897736
g__GGB35068,0.0017163969646911382
g__Lachnotalea,0.0017123415405244833
g__GGB9699,0.001704777108030638
g__Simiaoa,0.001702667338917063
g__Saccharomyces,0.0016910431107371804
g__GGB9444,0.0016619753761010078
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.0016606961124511236
g__GGB9302,0.0016550873574461957
g__Intestinimonas,0.0016462932190607544
g__Wujia,0.0016362586233095405
g__Fusobacterium,0.001621313494527717
g__Coprobacter,0.001614661419714932
g__GGB9531,0.0015975203850777768
g__GGB2983,0.0015812778509082506
g__Bianquea,0.0015758696315983313
g__GGB3304,0.001556274004146796
g__GGB3005,0.0015555555308081055
g__Luoshenia,0.0015542207262513306
g__Anaeromassilibacillus,0.001548209908443306
g__Actinobaculum,0.0015379142688484145
g__GGB33586,0.0014738023080532354
g__Candidatus_Nanoperiomorbus,0.0014693982269216815
g__Atopobium,0.0014680661591038166
g__GGB9534,0.0014467100948601696
g__Jutongia,0.0014451939267133747
g__GGB3433,0.0014399422597428679
g__GGB55957,0.0014264657634689762
g__GGB3321,0.0014255020036128573
g__GGB42689,0.001420355571941402
g__GGB9561,0.0014195476744943098
g__GGB13404,0.001381956744594958
g__Peptostreptococcus,0.0013731572437753305
g__GGB1661,0.0013534212142217248
