feature,importance
s__Ruminococcus_callidus,0.009588286178626148
s__Vescimonas_coprocola,0.006711184816357266
s__Odoribacter_splanchnicus,0.006168652598142016
s__Streptococcus_australis,0.00597574784294311
s__TM7_phylum_sp_oral_taxon_352,0.005592627397690606
s__Anaerotruncus_colihominis,0.005412648050699381
s__Dialister_hominis,0.0046600987409021665
s__Ruminococcus_bromii,0.004597023324526004
s__Enterocloster_hominis,0.004543458163715213
s__Bacteroides_xylanisolvens,0.004514254913866898
s__Fusicatenibacter_saccharivorans,0.004497874526367441
s__Alistipes_communis,0.004488649865030429
s__Clostridiaceae_bacterium_Marseille_Q4149,0.004467432532004076
s__Negativibacillus_massiliensis,0.004447993229246744
s__Clostridium_fessum,0.004387583141504358
s__Massiliimalia_timonensis,0.004073436128733629
s__Lachnospira_pectinoschiza,0.0040624868392780174
s__Barnesiella_intestinihominis,0.003987642438405357
s__Roseburia_faecis,0.003912350458290784
s__Lachnospira_eligens,0.003738177605674255
s__Faecalicatena_fissicatena,0.0036668210208316322
s__Actinomyces_naeslundii,0.003628645713998123
s__Anaerotignum_faecicola,0.0035499112295985704
s__Blautia_SGB4815,0.0035372020086999706
s__Gemmiger_formicilis,0.0035301908850638433
s__GGB9559_SGB14969,0.0035023203011851148
s__Bacteroides_caccae,0.0034763845948925843
s__Clostridia_bacterium_UC5_1_1D1,0.0034659733716898692
s__Holdemania_filiformis,0.003387643162236637
s__Mediterraneibacter_faecis,0.003379119759244442
s__Lacrimispora_amygdalina,0.003347359483485169
s__GGB9787_SGB15410,0.0033459759839491792
s__GGB51441_SGB71759,0.003331615146282028
s__GGB3490_SGB4664,0.003309255147408493
s__Vescimonas_SGB15087,0.0033073717372474596
s__Phocaeicola_plebeius,0.0032452420863700606
s__Gemmiger_SGB15295,0.0032314738120463324
s__Gordonibacter_pamelaeae,0.003214166915645709
s__Guopingia_tenuis,0.0032049295178785352
s__Megamonas_funiformis,0.003181899103290782
s__Dysosmobacter_welbionis,0.0031734623048324797
s__Streptococcus_vestibularis,0.0031658833494699473
s__Romboutsia_timonensis,0.00314783160791569
s__Clostridium_sp_AM33_3,0.00301684832307725
s__Desulfovibrio_desulfuricans,0.0029372005434734746
s__Eubacterium_rectale,0.002882380424562513
s__Lawsonibacter_asaccharolyticus,0.002853864921252696
s__Clostridiales_bacterium,0.0028446928697844417
s__Agathobaculum_butyriciproducens,0.0028393285753895467
s__Bacteroides_cellulosilyticus,0.002832212254379608
s__Clostridium_sp_AM42_4,0.002824641965329728
s__GGB9760_SGB15374,0.0028118773578441345
s__GGB45432_SGB63101,0.0028032729507116144
s__Blautia_faecis,0.002781824920659915
s__Akkermansia_muciniphila,0.002771784565817689
s__Pseudoflavonifractor_gallinarum,0.002759929428477144
s__Intestinibacter_bartlettii,0.0027568720805320203
s__Roseburia_inulinivorans,0.0026639669905809222
s__Lachnospiraceae_bacterium_OM04_12BH,0.0025964196661737654
s__GGB4552_SGB6276,0.002594128197176494
s__Veillonella_atypica,0.0025821556561483575
s__GGB52130_SGB14966,0.0025786771781374923
