fold,lr,batch_size,feature,d_token,num_layers,base_channels,expansion_factor,latent_dim,seed,AUC,Recall,Precision,F1
1,0.0001,8,ko,64,4,64,2,512,777,0.484,0.875,0.6364,0.7368
2,0.0001,8,ko,64,4,64,2,512,777,0.4712,0.8333,0.6452,0.7273
3,0.0001,8,ko,64,4,64,2,512,777,0.4872,1.0,0.6486,0.7869
4,0.0001,8,ko,64,4,64,2,512,777,0.4135,1.0,0.6486,0.7869
5,0.0001,8,ko,64,4,64,2,512,777,0.641,1.0,0.6486,0.7869
all,0.0001,8,ko,64,4,64,2,512,777,0.4994(0.0756),0.9417(0.0727),0.6455(0.0047),0.7650(0.0270)
