feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info,rank
K07027,4,3.7826662267180526,0.9488536155202822,0.993993993993994,0.8798586572438163,0.95995995995996,1,1,1,1,1
K05795,4,3.744601744601745,0.9417989417989419,0.8958958958958959,1.0,0.9069069069069069,1,1,1,1,2
K07484,4,3.6896479181520405,0.9435626102292769,0.994994994994995,0.9222614840989399,0.8288288288288288,1,1,1,1,3
K05366,4,3.5056229037383337,0.8694885361552028,0.938938938938939,0.823321554770318,0.8738738738738738,1,1,1,1,4
K22522,4,3.464330391303301,0.9347442680776015,0.996996996996997,0.6537102473498233,0.8788788788788788,1,1,1,1,5
K02346,4,3.4446014245778676,0.8871252204585538,0.97997997997998,0.872791519434629,0.7047047047047047,1,1,1,1,6
K00852,4,3.4341711726870736,0.7566137566137566,0.973973973973974,0.9858657243816255,0.7177177177177176,1,1,1,1,7
K07452,4,3.336330104292413,0.8924162257495591,0.988988988988989,0.9964664310954063,0.45845845845845845,1,1,1,1,8
K01955,4,3.316741779639306,0.8042328042328042,0.9719719719719719,0.646643109540636,0.8938938938938938,1,1,1,1,9
K01658,4,3.3013198289994525,0.9294532627865961,0.98998998998999,0.46996466431095407,0.9119119119119119,1,1,1,1,10
K00609,4,3.2885018621178808,0.998236331569665,0.964964964964965,0.5265017667844523,0.7987987987987988,1,1,1,1,11
K01703,4,3.259053433376166,0.9453262786596119,0.986986986986987,0.34275618374558303,0.983983983983984,1,1,1,1,12
K01465,4,3.2574219853371797,0.9788359788359788,0.6706706706706707,0.7420494699646643,0.8658658658658659,1,1,1,1,13
K15255,4,3.2561711972783822,0.5696649029982364,0.7227227227227226,0.9787985865724381,0.984984984984985,1,1,1,1,14
K12410,4,3.2344995171850295,0.8518518518518519,0.8828828828828829,0.5017667844522968,0.997997997997998,1,1,1,1,15
K02283,4,3.1354344416770803,0.9276895943562611,0.6566566566566567,0.7102473498233215,0.8408408408408409,1,1,1,1,16
K26364,4,3.1258990776069693,0.908289241622575,1.0,0.22261484098939932,0.994994994994995,1,1,1,1,17
K23396,4,3.120130057703674,0.6860670194003528,0.8078078078078078,0.8975265017667844,0.7287287287287287,1,1,1,1,18
K00088,4,3.0582694422505967,0.9964726631393298,0.8948948948948949,0.49823321554770317,0.6686686686686687,1,1,1,1,19
K00243,4,3.048204186013373,0.9947089947089947,0.955955955955956,0.16961130742049468,0.9279279279279279,1,1,1,1,20
K00784,4,2.999671722875492,0.9805996472663139,0.95995995995996,0.3003533568904594,0.7587587587587588,1,1,1,1,21
K03547,4,2.970696929471959,0.9188712522045855,0.8658658658658659,0.3851590106007067,0.8008008008008007,1,1,1,1,22
