feature,mi_score
K14246,0.2410012678449618
K00850,0.21634816082198216
K12410,0.2158754141575272
K03698,0.2092819032151385
K03734,0.20398155904821147
K26364,0.20296471726634335
K00286,0.20100579196398827
K23744,0.200543210733944
K07646,0.19530983861178508
K07139,0.1915244839930199
K16032,0.18696766103102402
K14155,0.1829474342021853
K02115,0.1819884388643016
K00602,0.17977610183538872
K01591,0.17799281172384118
K15255,0.1732504909658954
K01703,0.17028127920822578
K16411,0.16916498673163916
K13560,0.16851940580113167
K01619,0.16638611476618648
K03100,0.1642313540176754
K20930,0.16385109621316163
K16407,0.16347218841476008
K01733,0.16152128192010973
K00969,0.1595007794111818
K16030,0.15824215774210182
K24568,0.15265510347083677
K20171,0.1522905128259151
K02034,0.15089726333983466
K01938,0.15028786116793258
K15742,0.1496632864213574
K03046,0.14856286452106082
K07816,0.1482103090903808
K11071,0.14751854975286838
K24556,0.14652827737617957
K00930,0.14598985457213187
K01933,0.1456540979404195
K00057,0.14523472139512394
K01200,0.14324397912405074
K01710,0.14125897889403505
K07027,0.14113558404690552
K02072,0.1399215160819185
K03413,0.13962054815686953
K02528,0.13945310218229312
K06183,0.13757843517725687
K15090,0.1371890880048212
K07391,0.1353041737686591
K23862,0.13350006381342672
K03524,0.1326414616849909
K01687,0.13240711803443217
K16408,0.13235375704357133
K03154,0.13217969618476766
K02038,0.13209510195954843
K16007,0.13185376025995432
K07800,0.1288978796217013
K14060,0.12723967093224275
K01173,0.12683231939897177
K02469,0.12598845839886086
K03152,0.12440135490458837
K02039,0.1243143988663451
K01924,0.12420484406929044
K02931,0.12394155122787276
K02837,0.12365652896384516
K06287,0.12358620634127804
K02242,0.12357282273414438
K14371,0.12101232920398153
K00262,0.12051130927064468
K03426,0.11976947058520393
K06967,0.11958841015598165
K19650,0.11937505291137418
K01000,0.11935865880031105
K02503,0.1191277120849894
K00243,0.11880687109319266
K24569,0.11844960989034314
K00973,0.11810892898900094
K03816,0.1180897267179597
K16031,0.11678711712031364
K09951,0.11668332487497723
K23745,0.11664476814983948
K03657,0.11648997502629643
K02231,0.1163604459905172
K16001,0.11635748309692984
K01443,0.1150951603502317
K01889,0.11388528804660991
K22278,0.11385094738726886
K02871,0.11343514501834151
K16412,0.1127748099830066
K19955,0.11220649383564618
K01658,0.11213316024274733
K15558,0.11184514069396223
K11072,0.11163529109783221
K11068,0.11159195748565809
K09144,0.11056836588172869
K05795,0.11046763662803882
K11753,0.11020473827230992
K16870,0.11005065612688658
K03402,0.10995608646115795
K02335,0.10957306063550454
K01695,0.10865501484758644
K03589,0.10796781142600786
K16402,0.10788441788528069
K03496,0.10771582093964249
K12906,0.10770701897771562
K18843,0.10743397134108412
K13319,0.10726161447609983
K01262,0.10725011188018341
K01955,0.10662223420856232
K19725,0.10639979032673663
K16406,0.10606162597202862
K16002,0.10567230600550248
K16418,0.10527898847064088
K20572,0.10518846420732264
K01892,0.10493799662544023
K02111,0.10480511871223142
K00791,0.10474101796483937
K02564,0.10459291561569217
K03315,0.1043505434475267
K01586,0.10415702230900759
K16409,0.10401869341439007
K02112,0.10384201931163206
K24557,0.10368077901397554
K22522,0.10346110364433891
K24567,0.10246464425004675
K00980,0.10112333934716089
K03686,0.10101849627356763
K10240,0.10076423664430822
K05366,0.1006242446094825
K01990,0.10056041847174013
K02113,0.10049318856810041
K10439,0.10041747267162493
K05896,0.09994514832521983
K03310,0.09956504095981833
K02500,0.09948327954993208
K24566,0.09932281059350712
K01465,0.0991978188143452
K03455,0.09913221704353847
K03437,0.0988303921323388
K01218,0.09870145567527744
K01784,0.09841496554503726
K02470,0.09813701829413124
K02994,0.09806950660582836
K07007,0.09764273430405579
K06173,0.09704661856531893
