feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
f__Barnesiellaceae,4,1.7315206368104428,1,1,1,1
f__Odoribacteraceae,4,1.5023194464281515,1,1,1,1
f__Firmicutes_unclassified,4,1.3726026557210085,1,1,1,1
f__FGB79291,3,1.0602453956842182,1,1,0,1
f__Selenomonadaceae,3,0.7745922123953948,0,1,1,1
f__FGB1217,3,0.7256919640399853,0,1,1,1
f__Candidatus_Saccharibacteria_unclassified,3,0.6535121585234651,0,1,1,1
f__Pasteurellaceae,3,0.4593746598914823,0,1,1,1
f__Veillonellaceae,3,0.3799440742865335,0,1,1,1
f__FGB9583,2,1.5486483021852926,1,0,0,1
f__FGB618,2,0.46939235113376376,0,0,1,1
f__Peptoniphilaceae,2,0.45589347952862225,0,0,1,1
f__FGB3048,2,0.2530116842437814,0,1,1,0
f__Acidaminococcaceae,2,0.1468977605918903,0,1,1,0
f__FGB1380,2,0.12897193774473015,0,1,1,0
f__Akkermansiaceae,2,0.09485857052279885,0,1,1,0
f__FGB2837,1,0.4161262644581424,0,0,0,1
f__FGB58251,1,0.38698099051974594,0,0,0,1
f__FGB1425,1,0.36415625361990367,0,0,0,1
f__FGB1473,1,0.36357986577101736,0,0,0,1
