feature,coefficient,abs_coefficient
f__Firmicutes_unclassified,-0.161973615651835,0.161973615651835
f__Barnesiellaceae,0.16187218482857937,0.16187218482857937
f__FGB1217,0.13873330765343758,0.13873330765343758
f__Selenomonadaceae,0.13066854314866974,0.13066854314866974
f__Candidatus_Saccharibacteria_unclassified,-0.09751293511038893,0.09751293511038893
f__Odoribacteraceae,0.09463290349354442,0.09463290349354442
f__FGB3048,-0.08908305822334248,0.08908305822334248
f__Pasteurellaceae,-0.0685034310365176,0.0685034310365176
f__Peptoniphilaceae,-0.06816758135127324,0.06816758135127324
f__Lactobacillaceae,0.06391083041799168,0.06391083041799168
f__Turicibacteraceae,0.06133080427248892,0.06133080427248892
f__FGB618,0.06043777850575839,0.06043777850575839
f__FGB2960,-0.059761812418430656,0.059761812418430656
f__Synergistaceae,-0.04541170011160718,0.04541170011160718
f__Acidaminococcaceae,-0.044471105609209596,0.044471105609209596
f__Candidatus_Nanogingivalaceae,-0.04150842824003047,0.04150842824003047
f__FGB1380,0.03928901539853167,0.03928901539853167
f__Veillonellaceae,-0.03916642204472372,0.03916642204472372
f__Atopobiaceae,0.037768633379560955,0.037768633379560955
f__FGB1354,-0.03517532787753892,0.03517532787753892
f__Clostridia_unclassified,-0.03335753399441126,0.03335753399441126
f__FGB3038,0.030987547867034414,0.030987547867034414
f__FGB1765,-0.030053895720095463,0.030053895720095463
f__FGB75721,0.02931557997543818,0.02931557997543818
f__Eubacteriales_unclassified,0.028757460236303482,0.028757460236303482
f__Akkermansiaceae,0.02519277079175973,0.02519277079175973
f__FGB38642,0.02427658454796771,0.02427658454796771
f__Muribaculaceae,-0.021093522573728672,0.021093522573728672
f__FGB14936,-0.018752484413050517,0.018752484413050517
f__Prevotellaceae,-0.014171119321952528,0.014171119321952528
f__Bacteroidaceae,0.01130854998548487,0.01130854998548487
f__FGB4806,-0.007750007106200497,0.007750007106200497
f__Enterococcaceae,0.004979649493437332,0.004979649493437332
f__FGB72924,0.0039038432379459014,0.0039038432379459014
