seed,lr,batch_size,feature,d_token,norm_method,AUC,ACC,Recall,Precision,F1
392,0.0001,16,species,32,none,0.76122,0.72432,0.8023399999999998,0.78982,0.7921199999999999
412,0.0001,16,species,32,none,0.7311,0.70272,0.762,0.78582,0.77124
432,0.0001,16,species,32,none,0.80406,0.75136,0.82866,0.80654,0.81232
all,0.0001,16,species,32,none,0.7655 ± 0.0299,0.7261 ± 0.0199,0.7977 ± 0.0274,0.7941 ± 0.0090,0.7919 ± 0.0168
