feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
g__Negativibacillus,4,2.1191528901053185,1,1,1,1
g__Candidatus_Saccharibacteria_unclassified,4,1.7701532996787877,1,1,1,1
g__Barnesiella,4,1.6950742876499236,1,1,1,1
g__Granulicatella,4,1.5277877684475296,1,1,1,1
g__Lachnospira,4,1.4944971113942083,1,1,1,1
g__Butyricimonas,4,1.3673356009313888,1,1,1,1
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,4,1.3277104511301787,1,1,1,1
g__GGB9758,3,1.4521688936574113,1,0,1,1
g__Odoribacter,3,1.4173982504567297,1,1,0,1
g__GGB9559,3,1.291643674122613,1,0,1,1
g__Vescimonas,3,1.1454377910667866,1,1,0,1
g__Gordonibacter,3,1.0831803180812556,1,0,1,1
g__Haemophilus,3,1.0548716393110769,1,1,0,1
g__Agathobaculum,3,1.0199442530194291,1,1,0,1
g__Megamonas,3,0.7264407744458785,0,1,1,1
g__GGB2982,3,0.7104708126499486,0,1,1,1
g__Oscillibacter,2,1.1742930146580182,1,0,0,1
g__Alistipes,2,1.0300972884743782,1,0,0,1
g__Erysipelatoclostridium,2,0.9826684595427346,1,0,0,1
g__Streptococcus,2,0.9688034618507653,1,0,0,1
