feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
o__Candidatus_Saccharibacteria_unclassified,4,1.7267191282366476,1,1,1,1
o__Firmicutes_unclassified,4,1.6021719343223289,1,1,1,1
o__OFGB38642,4,1.5571205754584532,1,1,1,1
o__Pasteurellales,4,1.1511945046413936,1,1,1,1
o__OFGB3038,3,1.2463728114892545,1,0,1,1
o__Actinomycetales,3,0.936023161786733,1,1,0,1
o__Selenomonadales,3,0.7578536508025346,0,1,1,1
o__OFGB75721,3,0.6970951069826323,0,1,1,1
o__OFGB1217,3,0.647257580571603,0,1,1,1
o__OFGB77988,3,0.5886301855403693,0,1,1,1
o__Candidatus_Nanogingivales,3,0.48538841844928404,0,1,1,1
o__Coriobacteriales,3,0.4592900720364198,0,1,1,1
o__Verrucomicrobiales,3,0.4583385814159997,0,1,1,1
o__Clostridia_unclassified,3,0.4415538497064314,0,1,1,1
o__Bacteroidales,3,0.3854596768048436,0,1,1,1
o__Veillonellales,3,0.36486635057860706,0,1,1,1
o__Acidaminococcales,3,0.3565959993464543,0,1,1,1
o__OFGB1765,2,0.3967634614672366,0,1,1,0
o__OFGB45628,2,0.33623533910931114,0,0,1,1
o__Erysipelotrichales,2,0.3223083898434905,0,1,0,1
