taxonomy_level,biomarker_count,accuracy,sensitivity,specificity,f1_score,roc_auc
Order,20,0.6432432432432432,0.6557377049180327,0.6190476190476191,0.7079646017699115,0.7357533177205308
Family,20,0.7513513513513513,0.7377049180327869,0.7777777777777778,0.7964601769911505,0.824095758521988
Genus,20,0.7027027027027027,0.6885245901639344,0.7301587301587301,0.7533632286995516,0.7624251886546969
Species,20,0.7351351351351352,0.7377049180327869,0.7301587301587301,0.7860262008733624,0.8100442362737444
