taxonomy_level,biomarker,original_name,n_methods,integrated_score
Order,Candidatus_Saccharibacteria_unclassified,o__Candidatus_Saccharibacteria_unclassified,4,1.7267191282366476
Order,Firmicutes_unclassified,o__Firmicutes_unclassified,4,1.6021719343223289
Order,OFGB38642,o__OFGB38642,4,1.5571205754584532
Order,Pasteurellales,o__Pasteurellales,4,1.1511945046413936
Order,OFGB3038,o__OFGB3038,3,1.2463728114892545
Order,Actinomycetales,o__Actinomycetales,3,0.936023161786733
Order,Selenomonadales,o__Selenomonadales,3,0.7578536508025346
Order,OFGB75721,o__OFGB75721,3,0.6970951069826323
Order,OFGB1217,o__OFGB1217,3,0.647257580571603
Order,OFGB77988,o__OFGB77988,3,0.5886301855403693
Order,Candidatus_Nanogingivales,o__Candidatus_Nanogingivales,3,0.48538841844928404
Order,Coriobacteriales,o__Coriobacteriales,3,0.4592900720364198
Order,Verrucomicrobiales,o__Verrucomicrobiales,3,0.4583385814159997
Order,Clostridia_unclassified,o__Clostridia_unclassified,3,0.4415538497064314
Order,Bacteroidales,o__Bacteroidales,3,0.3854596768048436
Order,Veillonellales,o__Veillonellales,3,0.36486635057860706
Order,Acidaminococcales,o__Acidaminococcales,3,0.3565959993464543
Order,OFGB1765,o__OFGB1765,2,0.3967634614672366
Order,OFGB45628,o__OFGB45628,2,0.33623533910931114
Order,Erysipelotrichales,o__Erysipelotrichales,2,0.3223083898434905
Family,Odoribacteraceae,f__Odoribacteraceae,4,2.1674771453021666
Family,Firmicutes_unclassified,f__Firmicutes_unclassified,3,1.054384423198886
Family,Barnesiellaceae,f__Barnesiellaceae,3,0.811276044952846
Family,Selenomonadaceae,f__Selenomonadaceae,3,0.76901894589897
Family,FGB1217,f__FGB1217,3,0.7470941851817905
Family,Carnobacteriaceae,f__Carnobacteriaceae,3,0.6915098494624862
Family,Candidatus_Saccharibacteria_unclassified,f__Candidatus_Saccharibacteria_unclassified,3,0.6914770484740385
Family,FGB75721,f__FGB75721,3,0.5872536387740143
Family,Pasteurellaceae,f__Pasteurellaceae,3,0.5820141426876086
Family,Lactobacillaceae,f__Lactobacillaceae,3,0.5191193104912946
Family,Candidatus_Nanogingivalaceae,f__Candidatus_Nanogingivalaceae,3,0.45742134857081473
Family,Akkermansiaceae,f__Akkermansiaceae,3,0.4079284646840273
Family,Clostridia_unclassified,f__Clostridia_unclassified,3,0.396390843642267
Family,FGB38642,f__FGB38642,2,0.5769324798064677
Family,FGB3038,f__FGB3038,2,0.4509248768442127
Family,FGB45628,f__FGB45628,2,0.3760119687896638
Family,Rikenellaceae,f__Rikenellaceae,2,0.36275592817029934
Family,Streptococcaceae,f__Streptococcaceae,2,0.36050388332452
Family,FGB1765,f__FGB1765,2,0.3599318177343111
Family,FGB3048,f__FGB3048,2,0.31899700071734577
Genus,Negativibacillus,g__Negativibacillus,4,2.1191528901053185
Genus,Candidatus_Saccharibacteria_unclassified,g__Candidatus_Saccharibacteria_unclassified,4,1.7701532996787877
Genus,Barnesiella,g__Barnesiella,4,1.6950742876499236
Genus,Granulicatella,g__Granulicatella,4,1.5277877684475296
Genus,Lachnospira,g__Lachnospira,4,1.4944971113942083
Genus,Butyricimonas,g__Butyricimonas,4,1.3673356009313888
Genus,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,4,1.3277104511301787
Genus,GGB9758,g__GGB9758,3,1.4521688936574113
Genus,Odoribacter,g__Odoribacter,3,1.4173982504567297
Genus,GGB9559,g__GGB9559,3,1.291643674122613
Genus,Vescimonas,g__Vescimonas,3,1.1454377910667866
Genus,Gordonibacter,g__Gordonibacter,3,1.0831803180812556
Genus,Haemophilus,g__Haemophilus,3,1.0548716393110769
Genus,Agathobaculum,g__Agathobaculum,3,1.0199442530194291
Genus,Megamonas,g__Megamonas,3,0.7264407744458785
Genus,GGB2982,g__GGB2982,3,0.7104708126499486
Genus,Oscillibacter,g__Oscillibacter,2,1.1742930146580182
Genus,Alistipes,g__Alistipes,2,1.0300972884743782
Genus,Erysipelatoclostridium,g__Erysipelatoclostridium,2,0.9826684595427346
Genus,Streptococcus,g__Streptococcus,2,0.9688034618507653
Species,Streptococcus_australis,s__Streptococcus_australis,3,1.787717525602058
Species,TM7_phylum_sp_oral_taxon_352,s__TM7_phylum_sp_oral_taxon_352,3,0.8990751249751545
Species,Negativibacillus_massiliensis,s__Negativibacillus_massiliensis,3,0.8295564249068492
Species,GGB9760_SGB15374,s__GGB9760_SGB15374,3,0.8015496941436396
Species,Megamonas_funiformis,s__Megamonas_funiformis,3,0.7837814753159376
Species,Granulicatella_SGB8255,s__Granulicatella_SGB8255,3,0.7440917260718538
Species,Agathobaculum_butyriciproducens,s__Agathobaculum_butyriciproducens,3,0.4746094486183766
Species,Barnesiella_intestinihominis,s__Barnesiella_intestinihominis,2,0.6824632563279139
Species,Clostridium_innocuum,s__Clostridium_innocuum,2,0.5465468096277788
Species,GGB9758_SGB15368,s__GGB9758_SGB15368,2,0.5446154477954996
Species,Faecalibacterium_prausnitzii,s__Faecalibacterium_prausnitzii,2,0.5049061992707716
Species,Alistipes_communis,s__Alistipes_communis,2,0.46399636795756255
Species,Odoribacter_splanchnicus,s__Odoribacter_splanchnicus,2,0.46090760239127754
Species,Jutongia_huaianensis,s__Jutongia_huaianensis,2,0.4359566729606767
Species,Allisonella_histaminiformans,s__Allisonella_histaminiformans,2,0.43025349250388933
