seed,lr,batch_size,feature,d_token,AUC,ACC,Recall,Precision,F1
392,0.0001,16,ko,96,0.73924,0.69736,0.6836599999999999,0.7745599999999999,0.71554
412,0.0001,16,ko,96,0.7033400000000001,0.6663,0.64184,0.7407600000000001,0.6770400000000001
432,0.0001,16,ko,96,0.8001999999999999,0.67736,0.74364,0.76872,0.7056000000000001
all,0.0001,16,ko,96,0.7476 ± 0.0400,0.6803 ± 0.0129,0.6897 ± 0.0418,0.7613 ± 0.0148,0.6994 ± 0.0163
