sample_id,label,f__Synergistaceae,f__Rikenellaceae,f__Tannerellaceae,f__Bacteroidaceae,f__Coriobacteriaceae,f__Eubacteriales_unclassified,f__Oscillospiraceae,f__Odoribacteraceae,f__Acidaminococcaceae,f__Lachnospiraceae,f__Clostridiaceae,f__Desulfovibrionaceae,f__Christensenellaceae,f__Eubacteriales_Family_XIII_Incertae_Sedis,f__Lactobacillaceae,f__Eggerthellaceae,f__Eubacteriales_incertae_sedis,f__Streptococcaceae,f__Erysipelotrichaceae,f__Enterobacteriaceae,f__Eubacteriaceae,f__Peptostreptococcaceae,f__Bifidobacteriaceae,f__Candidatus_Saccharimonadaceae,f__Prevotellaceae,f__FGB15212,f__Coprobacillaceae,f__Candidatus_Saccharibacteria_unclassified,f__FGB1226,f__Enterococcaceae,f__FGB1262,f__Barnesiellaceae,f__Selenomonadaceae,f__FGB1126,f__Actinomycetaceae,f__Sutterellaceae,f__Atopobiaceae,f__FGB1776,f__FGB14936,f__FGB2982,f__FGB1765,f__Turicibacteraceae,f__FGB3069,f__FGB1217,f__FGB75721,f__Pasteurellaceae,f__FGB3048,f__FGB3038,f__FGB1011,f__Clostridia_unclassified,f__FGB3047,f__Veillonellaceae,f__Bacteria_unclassified,f__FGB3023,f__FGB1354,f__FGB2915,f__Carnobacteriaceae,f__FGB1227,f__FGB3057,f__Akkermansiaceae,f__FGB1292,f__Firmicutes_unclassified,f__FGB1380,f__FGB3062,f__FGB38642,f__FGB77988,f__Propionibacteriaceae,f__FGB45628,f__Candidatus_Nanogingivalaceae,f__Bacillales_unclassified,f__FGB4806,f__Micrococcaceae,f__FGB4605,f__Oxalobacteraceae,f__FGB1359,f__FGB45503,f__FGB72924,f__FGB2997,f__FGB3072,f__FGB1325,f__FGB2960,f__FGB10477,f__FGB32970,f__FGB9989,f__Corynebacteriaceae,f__Fusobacteriaceae
CRR1012336,1,-5.070135655595704,6.2182670951532355,4.769078578426046,7.38937328940884,1.3689850568750577,3.873051869082175,7.003323745807079,4.119096381886482,2.3584507257696496,7.702415897552963,5.138558418678463,3.751068398816367,-0.5545790412427073,1.4305088807417552,-0.17443174606007206,1.341211922625354,3.9259663830485123,2.2777147478137936,2.5898425827488563,5.997306757284035,5.315516442722374,0.6856051339415964,4.116598297975726,-0.8216418217085895,4.645953194835273,2.126121359721973,-4.664671023677448,-0.6934819753408195,0.038402433547094286,-3.8805525825097607,-3.2548468849697496,4.44804506675985,-4.531139750100438,-3.1874056193410487,-0.0661907686329246,0.2891409888920426,-4.1828333009300875,4.798115515869065,3.5866441217056697,3.0728404661336413,5.1430491021635385,-4.020314459667558,-2.678756361669989,1.9079435128683135,-5.144243517859478,-2.938509619824194,0.6815281181201832,1.533225853595083,-0.3735604188163591,0.8289771879370196,0.21088879253930595,4.488886381920054,-0.248704096448553,1.2139970795699357,-3.648751058407424,0.3710430086272828,-5.311297322802834,-3.582059706155685,-4.071607727739333,-3.7773683889002583,-3.59832022173926,-3.2205578193301543,-3.4750876193290803,-1.4477026912923896,5.980820946127371,1.8746386884363564,-5.224286097328092,-5.511967614225397,-6.099752501355269,-4.713461140227879,-4.1538457808635485,-5.763281407587281,0.5737942840168444,-4.071607727739333,-0.1366914184729199,-0.7835991970245368,4.727680381069675,-3.0178463480660045,-3.582059706155685,5.146674180347797,-0.12747476346238182,-4.618151051332558,-3.4465142550499532,-2.0290217365049195,-5.224286097328092,-1.9377532283460601
CRR1012349,0,-4.73206745532953,5.683069666016217,3.164590105142865,6.572559417589909,-0.4241502021490103,6.342508860142133,7.995290618252803,2.218335292598473,-4.480753344508539,8.128618734823242,6.683829499677857,0.8841826034679048,2.551477457194226,3.231043175576591,-3.4198821103184596,4.9898282731358,4.731772413229721,3.900898978806041,3.533177026332353,0.8264125317125944,6.739805393635559,3.7274649281804737,-2.5190957933455924,-0.9675519824678003,2.9650524340314472,-0.9609512986542941,-4.3266028234112754,1.6485377997044126,-4.886217897061919,-0.21339071368896714,-2.9167786847035773,3.998159801484314,-0.17369084444854674,-1.018496782352426,-1.4468703626247312,3.0134903516681697,-3.8447651006639147,6.3330124633736675,-3.4198821103184596,-1.5599851606582593,-1.364773004652382,3.5946553653605906,-2.340688161403816,-3.905389685715666,-4.806175317593306,-2.6004414195580217,0.8960659775530545,2.033299583822357,0.9042501664154525,4.0007655009046035,-1.3166868202974713,5.6350403695315485,1.0665907807301223,2.6170700678666643,5.881201702882685,3.905747750093285,-2.670645665904616,1.0790721133539216,0.9224233065476493,-3.439300188634086,-3.2602520214730877,2.540031846317509,-3.1370194190629075,-1.1096344910262173,-3.9371383638689688,-3.001678107883651,-4.886217897061919,0.6725371453013538,-5.761684301089097,-2.6889948012058094,-3.8157775805973753,-1.5599851606582593,-4.480753344508539,-1.3796616164072166,-2.9052178649755827,-0.44553099675836416,-3.439300188634086,-1.9866310589829932,-0.6840175807110276,-3.874618045988295,-3.9371383638689688,-4.2800828510663855,-3.108446054783781,-1.6909535362387467,-4.886217897061919,-1.5996850280798875
CRR1012358,0,-3.7496752450179964,2.909434080969877,6.268286865100789,7.3080200454549695,6.03534100040626,4.570110329677686,7.519113227179519,2.671016012465059,7.559231868637515,9.683836318209966,5.979763567491017,6.027315897190022,1.4280859706189069,1.410199315040999,3.88210133602007,6.0061971202368785,-0.8593048363271636,7.516008298262758,5.571898356141508,6.057701093908609,3.0479448125781445,2.6921808236084104,7.877826696101998,2.2598382697764956,-4.0861469102116175,0.02144091165724025,1.7357128584363553,4.0861284985272475,-3.903825686750385,-2.560092171932054,-1.934386474392043,-3.903825686750385,-3.2106793395227315,-3.903825686750385,2.4085122365228386,3.033972048532189,-2.8623728903523804,-1.7936139510488915,-2.4374899000069252,-0.5775929503467249,-0.38238079434084793,-2.6998540490898515,-1.358295951092282,-2.9229974754041317,-3.8237831072817716,1.0484723754461922,-3.4983611341970047,-3.0928963964588676,-2.9547461535574344,2.5594620827080052,-4.0861469102116175,4.369253980675664,-1.8561342949966668,-2.098274288082707,-2.328290647829717,-2.833385370285841,0.1392239436586529,-3.9908369122251273,-2.7511473171616263,-2.4569079783225516,2.0571779905031433,-1.9000974087524476,-2.154627208751373,-0.12724228071468285,-2.9547461535574344,-2.0192858975721166,-3.903825686750385,-4.19150720364769,1.4691335638620917,-1.7252947204123683,-2.833385370285841,-4.442820997009575,-3.4983611341970047,-2.7511473171616263,-1.9228256546640483,0.5368612135531701,-2.4569079783225516,-1.6973859374882976,-3.7496752450179964,-2.8922258356767605,-2.9547461535574344,-3.297690640754851,-2.1260538444722465,-0.7085613259272124,-3.903825686750385,-0.6172928177683532
CRR1012371,1,-5.375895083007123,6.4566363045603445,3.785073528114242,5.641148238940641,3.48804249290155,4.527462461335449,7.0235659726088215,2.8258811861347692,4.5044466935458205,7.466520131692057,4.813698660377288,4.248793196243308,0.8721463656940928,2.653070888455506,0.23095542882789333,4.3226294066272715,3.8078065010170667,3.5060786728697213,5.108720676331548,2.9649344739870482,5.1301099217714174,2.7841318204007677,3.276277022477972,-0.7807766470129263,3.9076013811491577,-1.604778926331886,-4.970430451088867,1.0145838223550663,-4.8368991775118575,-4.1863120099211795,0.9510193455711833,4.5959303656637,-4.8368991775118575,-5.530045524739511,0.25275182870310675,2.1799338639107475,-1.0834820160620862,3.8552403915079188,4.9137228402434365,0.3392497264370834,-2.008600632329974,2.884928687828363,-2.9845157890814082,-4.549217313393258,-5.450002945270898,0.17262355996045706,0.6862261896642511,-0.08330981255457087,-4.58096599154656,-3.6082343500261267,-0.05847703614829903,0.18917109685171107,0.4820366469875615,0.30232392991364343,2.8535003155225263,-4.459605208274967,-2.416531808120343,-0.42511231889890844,-0.292719087625786,-3.178671775511165,-3.9040796491506793,2.920364966677451,-3.780847046740499,3.6199768447403677,3.4896369871890554,2.2705937116876354,-5.530045524739511,-3.3705627497437427,-6.405511928766688,0.49057154940271075,-4.459605208274967,-1.3429208704152666,-5.124580972186131,2.1471216243628843,0.775010812984542,0.4668194091364067,0.33500343557566686,-1.0546060931161496,-5.375895083007123,-4.5184456736658865,-4.58096599154656,-4.923910478743977,-3.7522736824613725,-2.3347811639163383,-5.530045524739511,-2.2435126557574794
CRR1012380,0,-4.912625214609747,4.705100798371463,1.940521587819736,5.003579681834274,7.720653498530057,5.570207293221871,6.918925005580648,-1.6062633118328187,0.5493875363884122,8.173188925679487,4.546747781328733,2.220213160493758,1.4749739191507416,3.1603309117862466,0.9993307709633106,4.74978066746488,5.490848007984293,5.565433669809058,5.627252536131245,4.493245267475489,5.2998203615104895,2.7764829074266624,5.606173953495862,-0.4450778186746688,-5.249096879803368,-1.14150905793451,-4.507160582691491,3.5366241455278424,-5.066775656342135,1.0241554178257188,-3.097336443983793,-5.066775656342135,5.766423803990106,-5.066775656342135,4.066123893734309,1.789860086550192,1.631079633466456,-0.9531749169329418,-3.6004398695986755,-1.7405429199384752,-1.5453307639325982,-3.862804018681602,-2.521245920684032,0.6746220205705494,-4.986733076873522,0.4906940388087344,2.569090012375226,-4.255846366050617,-2.9465135868073418,2.552946891593052,0.6145323014785475,3.1167131269929267,2.2608937054760423,-3.2612242576744572,-3.491240617421467,-3.9963353398775916,0.8165450701233913,0.36475889462079214,-3.9140972867533765,4.991089454737487,2.5849766674841193,2.3225807220934653,3.04460069953654,-1.290192250306433,-4.117696123149185,-3.182235867163867,-0.7994135732891857,-5.354457173239441,1.3691059183406145,0.1562775680248026,-3.9963353398775916,0.4626517711177667,-4.661311103788755,-3.9140972867533765,-3.0857756242557985,-0.6260887560385803,-3.619857947914302,-2.860335907080048,-4.912625214609747,-4.055175805268511,-4.117696123149185,-4.460640610346601,-3.2890038140639968,-1.8715112955189628,0.431073736041638,-1.7802427873601034
CRR1012436,1,-4.739390627804437,6.411985386002754,6.4891145774230985,6.393437339322936,5.044998204471874,4.701674474830384,7.243400421375585,4.225887760596764,4.238241323048591,8.263790022548038,5.405073352396938,1.2145931214173944,-4.382716112436613,3.454560967583639,-3.4272052827933663,4.8116666270174155,5.077829296081738,3.147923814601697,4.191574491208901,3.0475156436455113,5.102744271222901,3.6421777601552314,4.16244137945631,0.6961996953031981,6.0579273331541055,3.138979789466207,-4.333925995886182,1.4102964989968108,1.1867717782491431,-3.549807554718495,-2.924101857178484,-4.893541069536826,-4.200394722309173,-4.893541069536826,-2.2079652773155956,3.293802894028143,-3.8520882731388215,6.735232044154966,6.582711828760587,4.529055485713811,3.9412310782544133,3.3291899055963476,2.108158157139781,1.8905371833048925,1.3213986433424307,1.2131088910947707,1.1886761779795172,0.9524142320539168,0.45910498278363987,0.24127483760610832,0.24029300150349162,0.7979422162679879,0.008021475231363533,-0.18251214452203185,-0.6618545882560516,-1.2559565326160702,-1.3334440245607289,-1.9668032448493542,-2.5909574765414054,-3.4466233611089927,-3.2675751939479944,-2.8898127915388887,-3.1443425915378143,-1.116957663501124,-3.9444615363438755,-3.0090012803585577,-4.893541069536826,-5.1812225864341315,-5.769007473564003,-4.382716112436613,-3.8231007530722825,-5.432536379796015,-4.488076516983446,-3.7408626999480674,-2.9125410374504894,-0.45285416923327115,-3.4466233611089927,-2.6871013202747385,-4.739390627804437,-3.8819412184632016,-3.9444615363438755,-4.287406023541292,-3.1157692272586877,-1.6982767087136537,-4.893541069536826,-1.6070082005547943
CRR1012452,1,-4.844032808742071,5.596339257001191,3.171576197890755,4.79963651758402,6.125579306453452,4.798756231758698,7.026732491191281,0.011338659227298544,-1.5695885072354145,7.917501504021622,3.8831419991202116,4.739867693857185,0.1395723941805934,3.716738286802151,1.4509681579575424,3.8826786929593258,6.163874887779532,3.486244007026963,6.422579570762769,3.7040206522839334,5.225391392827587,5.411598013126077,7.781418631437215,1.0961370191673512,5.627737545902853,-1.072916652066834,-4.438568176823815,1.1502833823391634,-4.998183250474459,0.09043970609570527,2.6089480929811386,-0.006619174438803889,3.6609128474041746,-4.998183250474459,1.6926573623492196,1.7149737761975339,-3.9567304540764545,-2.887971514772966,0.9135146660120178,-1.671950514070799,-1.476738358064922,4.243557218137491,-2.4526535148163564,-4.017355039128206,-4.918140671005846,0.09760819550090706,-4.592718697921079,-4.187253960182941,0.9576524566428832,0.3199350848744139,-5.180504473935692,2.069845109797468,-0.8818614210249485,1.5105842223157995,4.000981646341317,-3.9277429340099155,-5.085194475949201,-5.085194475949201,2.1171263911691756,4.7735030757117,2.858263745469467,-2.9944549724765217,1.1773357960406123,-1.221599844438757,-4.0491037172815085,-3.1136434612961907,0.46423346716086167,-5.2858647673717645,-1.1731732523375848,-0.8085301498607866,-3.9277429340099155,-1.5535023703463549,-4.592718697921079,-3.8455048808857004,-3.0171832183881224,-0.557496350170904,-3.5512655420466257,-2.791743501212372,-4.844032808742071,-3.9865833994008346,-4.0491037172815085,-4.392048204478925,-3.2204114081963207,-1.8029188896512867,0.13859344159119275,-1.7116503814924273
CRR1012459,1,1.1653419382640169,7.129455487422692,5.09554817073085,7.431030108663107,-2.8147288434972295,4.984725383083089,7.803103882502952,3.6924553729321716,-4.488704374291719,7.983175487002265,4.673960766179271,3.1224222952325613,0.7785797776287546,-0.5766824577518448,2.0127510063912393,5.351753516587114,4.375365929680213,4.566733925485734,6.21781202253121,5.539499032183009,5.03193424897263,1.632568260205525,4.619060609326652,-5.0764901503063316,-5.0764901503063316,-0.968902328437474,-4.334553853194455,-4.894168926845099,1.1734830958161553,-3.550435412026768,0.8173595734493291,-4.894168926845099,-4.201022579617446,-4.894168926845099,-5.299633201621666,1.9892919946103655,-3.8527161304470945,-2.783957191143606,4.649673327295504,4.528508500748578,-1.372724034435562,-3.690197289184566,2.77041064347681,3.2590832371058567,-0.15943518852635363,-2.6083924493412014,1.4567151261130304,2.5255097056799527,1.9429833800768022,-0.9955705746305883,-5.0764901503063316,-4.740018485112711,0.9580318910533694,1.3638162314055884,5.542686547275522,0.7687898924126059,-0.9989546725003076,-4.981180152319841,0.5745925423788271,5.460275798796796,2.672830315218093,1.9139484971376945,-3.1449704488460877,4.70619406619873,-3.9450893936521485,-3.0096291376668307,-4.894168926845099,-2.3954704846037487,-5.769635330872276,-4.383343969744886,-3.8237286103805554,-5.433164237104289,-4.488704374291719,-3.7414905572563404,0.638559923202058,-0.4534820265415441,-2.754104233935694,-2.687729177583012,-4.740018485112711,3.619315736309105,-3.9450893936521485,3.9483135084553314,-0.3473359668674048,-1.6989045660219266,-4.894168926845099,-1.6076360578630673
CRR1012463,1,-3.241594244517867,4.355728965822769,6.69085410994784,9.34411278647259,9.209785065423153,2.8268299184627135,8.66797516787412,3.7596499502822676,0.33794715682883225,9.908047628949788,4.990882468859411,4.531397616545685,-2.8849197291500426,-2.217090843753506,-1.9294088995067957,5.851263403578327,2.3413634398721177,5.445677788940591,3.7089453865803774,8.281893795799565,-0.06951194984659544,5.385757924885156,7.221221912314286,-3.578065909711488,1.1169429985599282,0.5295219121573697,-2.8361296125996116,-3.3957446862502554,-3.3957446862502554,-2.0520111714319245,-1.4263054738919134,-0.17022591910350057,3.908321164165161,-3.3957446862502554,0.11579913566672992,-0.9248258042572123,-2.354291889852251,-1.285532950548762,3.9055139083805313,-0.06951194984659544,0.8188473620886859,-2.191773048589722,-0.8502149505921526,-2.414916474904002,-3.315702106781642,-1.1099682087463578,-2.990280133696875,-2.584815395958738,-2.446665153057305,-3.315702106781642,-3.578065909711488,-0.8567723502783184,-1.3480532944965373,-1.5901932875825775,-1.8202096473295877,-2.325304369785712,0.1257002061592815,-3.4827559117249978,-2.243066316661497,-1.9488269778224219,4.404348437801072,-1.392016408252318,-1.6465462082512439,0.3808387197854467,-2.446665153057305,-1.5112048970719871,-3.3957446862502554,-3.683426203147561,-4.271211090277433,-2.8849197291500426,-2.325304369785712,1.2292264767086065,-2.990280133696875,-2.243066316661497,-1.4147446541639188,1.0449422140532996,2.78046736098315,-1.189304936988168,-3.241594244517867,-2.384144835176631,-2.446665153057305,-2.789609640254722,-1.617972843972117,-0.200480325427083,-3.3957446862502554,-0.10921181726822377
CRR1012467,1,-4.433712882178314,7.570275372707564,5.679130772587861,7.741700285739674,2.5448987676607278,5.165971466123905,8.182239866598605,4.690959234626003,-4.182398771357322,8.265405569673367,5.891664602087689,1.2086992225944782,-0.20168032500654745,2.5352704504462573,1.9478599588020247,4.015077671154909,6.408032321346329,4.711340594681326,5.361368414451251,1.5057047832313826,7.6407907269625985,3.7024694236967837,4.560706355179857,-4.770184547371935,-4.770184547371935,-0.6625967255030771,-4.0282482502600585,-4.587863323910702,-4.587863323910702,-3.2441298090923714,-2.6184241115523603,5.980490288273383,-3.894716976683049,-0.37327127557176115,-4.993327598687269,4.201261916577867,-3.546410527512698,-2.477651588209209,-3.1215275371672426,-1.2616305875070424,-1.0664184315011653,-0.2770658428191021,-2.0423335882525993,1.9374090191315634,1.9490681261564076,1.1913341285169585,0.025604014755731555,-1.7546515484805534,-3.638783790717752,-4.507820744442089,1.504575477638482,5.532171080508273,2.1256985610655965,1.7277943549288948,-3.0123282849900344,-0.2593270188750632,-1.3891918049980905,-4.674874549385445,-3.4351849543219437,2.513399035964113,2.3991634708403105,2.566099113954294,3.1781987384484287,-0.8112799178750003,4.032456226646038,-2.703323534732434,-4.587863323910702,-4.875544840808008,-5.46332972793788,-4.0770383668104895,-3.5174230074461588,-0.8266648361227287,-4.182398771357322,3.697690341910562,-2.6068632918243657,-0.1471764236071474,-3.140945615482869,2.5840478170907346,-4.433712882178314,-3.576263472837078,-3.638783790717752,-3.981728277915169,-2.810091481632564,-1.39259896308753,-4.587863323910702,-1.3013304549286706
