feature,importance
g__GGB74505,0.0020644059169158523
g__Leuconostoc,0.00206177520926673
g__Lachnoclostridium,0.002048567483391895
g__GGB41458,0.002047301064229955
g__Olsenella,0.0020368866274878866
g__Arachnia,0.0020109411597527653
g__GGB9537,0.0020074442091252425
g__GGB3109,0.002000514672606329
g__GGB9759,0.0019658434155061413
g__Lactococcus,0.001959041279814755
g__Longicatena,0.00195520595868868
g__GGB9531,0.0019506145520433928
g__GGB3288,0.0019422911677384677
g__Simiaoa,0.0019262805196355165
g__GGB51647,0.0019252819382135254
g__GGB3819,0.0019232436097534774
g__Abiotrophia,0.0019210490583381487
g__GGB4552,0.0018980971294923394
g__GGB3278,0.0018528936039099214
g__GGB9529,0.001830071520565904
g__Bilophila,0.001824177556222019
g__Holdemanella,0.0018062425801923605
g__GGB51959,0.0018027798539503087
g__Aggregatibacter,0.0018025313124504646
g__GGB9063,0.001777859243645073
g__GGB3730,0.0017529982296664729
g__Faecalimonas,0.0017525420413001284
g__Propionibacterium,0.0017443241208055704
g__GGB9747,0.0017421389828160677
g__GGB9781,0.0017317532914628386
g__GGB36267,0.0016825771229624716
g__GGB9597,0.0016554754411394128
g__GGB2983,0.0016520965513996675
g__GGB4578,0.0016461900597092604
g__GGB3550,0.0016270238899035703
g__Oribacterium,0.0016267102730640492
g__GGB9708,0.0016221263097486566
g__Intestinimonas,0.0016126846082971595
g__GGB9593,0.0016105325050527633
g__GGB3612,0.0016017697833908225
g__GGB6613,0.0015875158086273088
g__GGB3061,0.001586479970167782
g__GGB9635,0.001586031045001948
g__GGB9563,0.0015830685148974838
g__Oxalobacter,0.001576524151938266
g__GGB4585,0.0015723281281761238
g__GGB13493,0.0015515032089189723
g__Massilioclostridium,0.001545675235854122
g__GGB9469,0.0015389980549147296
g__Butyricicoccus,0.001535084154331493
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.0015344253175831031
g__Anaeroglobus,0.0015273380696777669
g__GGB1661,0.001519888441630306
g__GGB9534,0.0015197741057080996
g__Parascardovia,0.0015126798443258849
g__GGB1456,0.0015016205120518293
g__GGB9342,0.0014858450795693127
g__Bacteroides,0.0014816474914161265
g__GGB3256,0.0014742045467460324
g__GGB4605,0.0014731300511474441
g__Colidextribacter,0.0014622431134869557
g__Paraeggerthella,0.0014487912420071516
g__Oscillospiraceae_unclassified,0.0014479293878441348
g__GGB9453,0.001422844045821635
g__Fenollaria,0.001401074353174268
g__Jutongia,0.0013866791187139727
g__GGB1663,0.0013852168525753726
g__Actinobaculum,0.0013819327555433217
g__Senegalimassilia,0.0013791431201777558
g__GGB9762,0.0013728955110723082
g__Emergencia,0.001372868614452621
g__Amedibacillus,0.0013702039962860265
g__GGB9512,0.0013695679231218727
g__GGB4558,0.0013660770896907833
g__GGB9359,0.0013570342276534159
g__GGB9770,0.0013565854731303552
g__GGB3588,0.0013483006538865462
g__GGB2987,0.0013420311469854015
g__GGB4567,0.0013294499837329511
g__GGB9788,0.0013245587178484749
g__Citrobacter,0.001321083803007592
g__GGB3429,0.0013177096130003731
g__Megasphaera,0.0013136715065740188
g__GGB9667,0.0013131402693343042
g__GGB9618,0.0013125325460981753
g__Lachnotalea,0.0013092423191652654
g__Fumia,0.0012956203609630977
g__GGB45491,0.0012944786171003614
g__GGB3277,0.0012795122335444195
g__Lacticaseibacillus,0.0012752829972780667
g__Dielma,0.001268898209962977
g__GGB9724,0.0012667941842234665
g__GGB55957,0.0012528611606585493
g__GGB9501,0.001245006684499429
g__Anaerosacchariphilus,0.0012305898889809544
g__GGB4651,0.0012297001769370735
g__GGB3491,0.0012132643422225523
g__GGB6574,0.0012107503944923188
g__Burkholderia,0.0012054845751011476
