taxonomy_level,biomarker_count,accuracy,sensitivity,specificity,f1_score,roc_auc
Order,20,0.6875,0.6881720430107527,0.6862745098039216,0.7398843930635839,0.7254901960784313
Family,20,0.7013888888888888,0.7096774193548387,0.6862745098039216,0.7542857142857143,0.7889521399957834
Genus,20,0.8125,0.8279569892473119,0.7843137254901961,0.8508287292817679,0.882774615222433
Species,20,0.7638888888888888,0.7634408602150538,0.7647058823529411,0.8068181818181818,0.8161501159603626
