feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__TM7_phylum_sp_oral_taxon_352,4,3.7941402398172306,0.9543859649122807,0.9919839679358717,0.8878504672897196,0.9599198396793587,1,1,1,1
s__Granulicatella_SGB8255,4,3.7588259976256824,0.887719298245614,0.9819639278557114,0.9532710280373832,0.935871743486974,1,1,1,1
s__Clostridiaceae_bacterium_Marseille_Q4149,4,3.517822331004031,0.8070175438596492,0.8817635270541082,0.9252336448598131,0.9038076152304609,1,1,1,1
s__Agathobaculum_butyriciproducens,4,3.5002633566854975,0.9649122807017544,0.9899799599198397,0.5794392523364487,0.9659318637274549,1,1,1,1
s__Odoribacter_splanchnicus,4,3.2927660206459812,0.9964912280701754,1.0,0.47663551401869164,0.8196392785571143,1,1,1,1
s__Dialister_hominis,4,3.113338137169568,0.8210526315789474,0.9799599198396793,0.44859813084112155,0.8637274549098196,1,1,1,1
s__Lachnospira_pectinoschiza,4,3.092111161164763,0.9192982456140351,0.9839679358717435,0.2990654205607477,0.8897795591182365,1,1,1,1
s__Alistipes_dispar,4,3.0065609494115297,0.8807017543859649,0.7114228456913827,0.5887850467289719,0.8256513026052104,1,1,1,1
s__Streptococcus_australis,4,3.0050011812442725,0.8982456140350877,0.9979959919839679,0.1869158878504673,0.9218436873747495,1,1,1,1
s__Blautia_caecimuris,4,2.9359629572310713,0.8456140350877193,0.35070140280561124,0.7476635514018692,0.9919839679358717,1,1,1,1
s__GGB9760_SGB15374,3,2.870287878593718,0.9824561403508771,0.9719438877755511,0.9158878504672897,0.0,1,1,1,0
s__Clostridium_sp_AT4,3,2.8483883655160787,0.0,0.9759519038076152,0.9626168224299065,0.9098196392785571,0,1,1,1
s__Alistipes_putredinis,3,2.785571142284569,1.0,0.9298597194388778,0.0,0.8557114228456913,1,1,0,1
s__Phocaeicola_plebeius,3,2.7254883598973647,0.0,0.9599198396793587,0.9439252336448598,0.8216432865731462,0,1,1,1
s__Streptococcus_anginosus,3,2.72222713996611,0.9578947368421052,0.969939879759519,0.794392523364486,0.0,1,1,1,0
s__Negativibacillus_massiliensis,3,2.7114853415635993,0.7789473684210526,0.9418837675350702,0.9906542056074766,0.0,1,1,1,0
s__Actinomyces_sp_ICM47,3,2.699314418310305,0.8315789473684211,0.9178356713426854,0.0,0.9498997995991983,1,1,0,1
s__Roseburia_faecis,3,2.6515993127425537,0.9473684210526316,0.9378757515030061,0.7663551401869159,0.0,1,1,1,0
s__Alistipes_communis,3,2.618263975072624,0.9894736842105263,0.9278557114228457,0.7009345794392523,0.0,1,1,1,0
s__Streptococcus_mutans,3,2.6041064585310973,0.7964912280701755,0.9939879759519038,0.0,0.8136272545090181,1,1,0,1
s__Clostridium_SGB6179,3,2.579063488511701,0.9789473684210527,0.9739478957915831,0.6261682242990654,0.0,1,1,1,0
s__Gordonibacter_pamelaeae,3,2.5586335813124856,0.9298245614035088,0.9559118236472945,0.6728971962616823,0.0,1,1,1,0
s__Veillonella_parvula,3,2.5251624744816734,0.0,0.717434869739479,0.8317757009345794,0.9759519038076152,0,1,1,1
s__Adlercreutzia_equolifaciens,3,2.516622029104939,0.0,0.9859719438877755,0.6168224299065421,0.9138276553106213,0,1,1,1
s__Haemophilus_parainfluenzae,3,2.5011845629281186,0.9157894736842105,0.9218436873747495,0.6635514018691588,0.0,1,1,1,0
s__Faecalibacterium_prausnitzii,3,2.50109564924241,0.0,0.7434869739478958,0.8598130841121495,0.8977955911823647,0,1,1,1
s__Phocaeicola_dorei,3,2.500477590695409,0.0,0.8697394789579158,0.7850467289719626,0.845691382765531,0,1,1,1
s__Eubacterium_sulci,3,2.495882994058292,0.7824561403508772,0.8176352705410822,0.0,0.8957915831663327,1,1,0,1
s__Anaerotruncus_colihominis,3,2.491918416271796,0.0,0.9318637274549099,0.5981308411214954,0.9619238476953907,0,1,1,1
s__GGB9758_SGB15368,3,2.474406757440114,0.0,0.8797595190380761,0.8130841121495327,0.781563126252505,0,1,1,1
s__Phocaeicola_coprocola,3,2.4637873878598318,0.0,0.8957915831663327,0.7102803738317758,0.8577154308617234,0,1,1,1
s__Eubacterium_hominis,3,2.4633477481278345,0.8421052631578947,0.6633266533066132,0.0,0.9579158316633266,1,1,0,1
s__Akkermansia_muciniphila,3,2.450545951716517,0.0,0.9659318637274549,0.5327102803738317,0.9519038076152304,0,1,1,1
s__GGB9559_SGB14969,3,2.4501203751986678,0.8701754385964913,0.7575150300601202,0.822429906542056,0.0,1,1,1,0
s__Allisonella_histaminiformans,3,2.449804872903702,0.8105263157894737,0.6392785571142284,1.0,0.0,1,1,1,0
s__Vescimonas_coprocola,3,2.418188007429846,0.9929824561403509,0.9579158316633266,0.4672897196261683,0.0,1,1,1,0
s__Eubacterium_ventriosum,3,2.409289935831657,0.9614035087719298,0.9338677354709419,0.514018691588785,0.0,1,1,1,0
s__Clostridium_innocuum,3,2.3609760264914152,0.9754385964912281,0.5350701402805611,0.8504672897196262,0.0,1,1,1,0
s__Enterococcus_faecalis,3,2.3509636094619144,0.0,0.8637274549098196,0.6074766355140186,0.8797595190380761,0,1,1,1
s__Ruminococcus_callidus,3,2.2951410609380756,0.9333333333333333,0.9879759519038076,0.3738317757009346,0.0,1,1,1,0
s__Lacrimispora_amygdalina,3,2.284868803026614,0.0,0.7354709418837675,0.5514018691588785,0.9979959919839679,0,1,1,1
s__Pseudoflavonifractor_gallinarum,3,2.270223674106698,0.6842105263157895,0.8476953907815631,0.7383177570093458,0.0,1,1,1,0
s__Bacteroides_thetaiotaomicron,3,2.241511059502182,0.0,0.8156312625250501,0.4579439252336449,0.9679358717434869,0,1,1,1
s__Streptococcus_gordonii,3,2.2333451950630234,0.0,0.6132264529058116,0.6822429906542056,0.9378757515030061,0,1,1,1
s__Blautia_faecis,3,2.2074803813233945,0.0,0.9138276553106213,0.4018691588785047,0.8917835671342685,0,1,1,1
s__Phascolarctobacterium_faecium,3,2.18279549753713,0.0,0.8396793587174349,0.3551401869158879,0.9879759519038076,0,1,1,1
s__Clostridium_sp_AM33_3,3,2.1654711291742363,0.0,0.905811623246493,0.28971962616822433,0.969939879759519,0,1,1,1
s__Eubacterium_rectale,3,2.1432584795759744,0.0,0.7915831663326653,0.5420560747663552,0.8096192384769539,0,1,1,1
s__Blautia_SGB4815,3,2.0199838930196843,0.0,0.9458917835671343,0.08411214953271029,0.9899799599198397,0,1,1,1
s__Clostridium_sp_NSJ_42,3,2.0034032978237177,0.7929824561403509,0.406813627254509,0.0,0.8036072144288577,1,1,0,1
s__Parabacteroides_gordonii,3,1.9804169742994762,0.9122807017543859,0.27855711422845686,0.0,0.7895791583166333,1,1,0,1
s__Lachnospiraceae_bacterium_CLA_AA_H244,3,1.9718127844473994,0.0,0.9478957915831663,0.19626168224299068,0.8276553106212425,0,1,1,1
s__GGB3278_SGB4328,3,1.9273897195933103,0.8175438596491228,0.5490981963927856,0.5607476635514019,0.0,1,1,1,0
s__Leuconostoc_lactis,3,1.921611644341314,0.5368421052631579,0.597194388777555,0.0,0.7875751503006012,1,1,0,1
s__Bacteroides_stercoris,3,1.9164497218736538,0.0,0.9258517034068137,0.07476635514018692,0.9158316633266533,0,1,1,1
s__Enterocloster_clostridioformis,3,1.888112673946023,0.0,0.591182364729459,0.4953271028037384,0.8016032064128257,0,1,1,1
s__Schaalia_odontolytica,3,1.8636150806285467,0.0,0.7675350701402806,0.16822429906542058,0.9278557114228457,0,1,1,1
s__Clostridium_symbiosum,3,1.8295656734028807,0.0,0.7474949899799599,0.14018691588785048,0.9418837675350702,0,1,1,1
s__Schaalia_SGB17168,3,1.736669600884011,0.0,0.6893787575150301,0.20560747663551404,0.8416833667334669,0,1,1,1
s__GGB74505_SGB47518,3,1.6939924774947501,0.8912280701754386,0.5410821643286573,0.26168224299065423,0.0,1,1,1,0
s__Ruminococcus_sp_AF13_28,3,1.6359073286760437,0.0,0.657314629258517,0.04672897196261683,0.9318637274549099,0,1,1,1
s__Mediterraneibacter_butyricigenes,3,1.6188673789618917,0.9508771929824561,0.6492985971943888,0.01869158878504673,0.0,1,1,1,0
s__Parasutterella_SGB9260,3,1.5809188470398743,0.0,0.36673346693386777,0.36448598130841126,0.8496993987975952,0,1,1,1
s__Bifidobacterium_longum,3,1.5248440806847339,0.0,0.3987975951903807,0.30841121495327106,0.8176352705410822,0,1,1,1
s__Massiliimalia_massiliensis,3,1.5080253965875676,0.0,0.18436873747494986,0.485981308411215,0.8376753507014028,0,1,1,1
s__GGB9423_SGB14792,3,1.249629279874719,0.5964912280701755,0.4008016032064128,0.25233644859813087,0.0,1,1,1,0
s__Ruminococcus_gauvreauii,3,1.147459831944591,0.3298245614035088,0.47294589178356716,0.0,0.34468937875751504,1,1,0,1
s__GGB9095_SGB14026,3,1.109299300355096,0.16140350877192977,0.1823647294589178,0.0,0.7655310621242485,1,1,0,1
s__Lachnoclostridium_sp_An138,3,1.0588193931723096,0.4035087719298246,0.4128256513026052,0.0,0.24248496993987978,1,1,0,1
s__Clostridium_transplantifaecale,3,1.0490814716825025,0.4245614035087719,0.531062124248497,0.09345794392523366,0.0,1,1,1,0
s__Collinsella_tanakaei,3,0.9107361139724933,0.8666666666666667,0.01603206412825653,0.028037383177570097,0.0,1,1,1,0
s__GGB9469_SGB14862,3,0.8534050557254861,0.39649122807017545,0.20240480961923846,0.0,0.2545090180360722,1,1,0,1
s__GGB8965_SGB13825,3,0.8198291319481067,0.3789473684210526,0.22645290581162325,0.0,0.21442885771543085,1,1,0,1
s__Eubacterium_maltosivorans,3,0.8002672010688043,0.33333333333333337,0.13226452905811625,0.0,0.3346693386773547,1,1,0,1
s__Fusobacterium_varium,3,0.6815596104489682,0.3929824561403509,0.02004008016032066,0.0,0.26853707414829664,1,1,0,1
s__GGB55957_SGB77276,3,0.6505010020040081,0.4,0.006012024048096198,0.0,0.24448897795591185,1,1,0,1
s__GGB3304_SGB4365,3,0.5872868544105756,0.22456140350877196,0.2545090180360722,0.0,0.10821643286573146,1,1,0,1
s__Schaalia_SGB17157,3,0.5858664697816686,0.3894736842105263,0.002004008016032066,0.0,0.1943887775551102,1,1,0,1
s__Vescimonas_fastidiosa,3,0.5231937559329185,0.2947368421052632,0.09619238476953906,0.0,0.13226452905811625,1,1,0,1
s__Bacteroides_xylanisolvens,2,1.973947895791583,0.0,0.9779559118236473,0.0,0.9959919839679359,0,1,0,1
s__Megamonas_funiformis,2,1.9679546007903657,0.0,0.9959919839679359,0.9719626168224299,0.0,0,1,1,0
s__Clostridium_sp_AM22_11AC,2,1.9458917835671343,0.0,0.9639278557114228,0.0,0.9819639278557114,0,1,0,1
s__GGB2982_SGB3964,2,1.943232258910344,0.0,0.9619238476953907,0.9813084112149533,0.0,0,1,1,0
s__Bacteroides_salyersiae,2,1.9183208522307773,0.968421052631579,0.9498997995991983,0.0,0.0,1,1,0,0
s__bacterium_210917_DFI_7_65,2,1.905811623246493,0.0,0.9198396793587175,0.0,0.9859719438877755,0,1,0,1
s__Clostridium_fessum,2,1.87374749498998,0.0,0.9018036072144289,0.0,0.9719438877755511,0,1,0,1
s__Parabacteroides_goldsteinii,2,1.8717434869739478,0.0,0.9078156312625251,0.0,0.9639278557114228,0,1,0,1
s__Ruminococcus_bromii,2,1.8697394789579158,0.0,0.9158316633266533,0.0,0.9539078156312625,0,1,0,1
s__GGB3632_SGB4921,2,1.8261224202791548,0.9403508771929825,0.8857715430861723,0.0,0.0,1,1,0,0
s__GGB2653_SGB3574,2,1.8236472945891784,0.0,0.8436873747494991,0.0,0.9799599198396793,0,1,0,1
s__Lachnospira_eligens,2,1.8003109021781882,0.0,0.8657314629258517,0.9345794392523364,0.0,0,1,1,0
s__Anaerostipes_hadrus,2,1.785571142284569,0.0,0.8016032064128257,0.0,0.9839679358717435,0,1,0,1
s__Streptococcus_salivarius,2,1.7775551102204408,0.0,0.9539078156312625,0.0,0.8236472945891784,0,1,0,1
s__GGB3653_SGB4964,2,1.7755511022044088,0.0,0.87374749498998,0.0,0.9018036072144289,0,1,0,1
s__GGB51441_SGB71759,2,1.774951772704287,0.0,0.8777555110220441,0.897196261682243,0.0,0,1,1,0
s__Dysosmobacter_welbionis,2,1.7675350701402806,0.0,0.8597194388777555,0.0,0.9078156312625251,0,1,0,1
s__Clostridia_bacterium_UC5_1_1D1,2,1.7655310621242486,0.0,0.8897795591182365,0.0,0.875751503006012,0,1,0,1
s__Roseburia_inulinivorans,2,1.7635270541082164,0.0,0.9679358717434869,0.0,0.7955911823647295,0,1,0,1
s__Dorea_longicatena,2,1.753507014028056,0.0,0.8917835671342685,0.0,0.8617234468937875,0,1,0,1
s__Blautia_wexlerae,2,1.753507014028056,0.0,0.7595190380761523,0.0,0.9939879759519038,0,1,0,1
s__Blautia_massiliensis,2,1.749498997995992,0.0,0.8296593186372745,0.0,0.9198396793587175,0,1,0,1
s__GGB9614_SGB15049,2,1.74749498997996,0.0,0.9398797595190381,0.0,0.8076152304609219,0,1,0,1
s__Dielma_fastidiosa,2,1.7254509018036073,0.0,0.8517034068136272,0.0,0.87374749498998,0,1,0,1
s__Veillonella_dispar,2,1.724889030397243,0.0,0.8837675350701403,0.8411214953271028,0.0,0,1,1,0
s__Actinomyces_SGB17132,2,1.7223569946911366,0.8245614035087719,0.8977955911823647,0.0,0.0,1,1,0,0
