taxonomy_level,biomarker_count,accuracy,sensitivity,specificity,f1_score,roc_auc
Order,20,0.7027027027027027,0.6885245901639344,0.7301587301587301,0.7533632286995516,0.7486338797814207
Family,20,0.7297297297297297,0.7377049180327869,0.7142857142857143,0.782608695652174,0.7785584179026803
Genus,20,0.745945945945946,0.7540983606557377,0.7301587301587301,0.7965367965367964,0.8144678636481915
Species,20,0.7351351351351352,0.7622950819672131,0.6825396825396826,0.7914893617021276,0.8140775435857402
