feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
s__Streptococcus_australis,3,1.787717525602058,1,1,0,1
s__TM7_phylum_sp_oral_taxon_352,3,0.8990751249751545,0,1,1,1
s__Negativibacillus_massiliensis,3,0.8295564249068492,0,1,1,1
s__GGB9760_SGB15374,3,0.8015496941436396,0,1,1,1
s__Megamonas_funiformis,3,0.7837814753159376,0,1,1,1
s__Granulicatella_SGB8255,3,0.7440917260718538,0,1,1,1
s__Agathobaculum_butyriciproducens,3,0.4746094486183766,0,1,1,1
s__Barnesiella_intestinihominis,2,0.6824632563279139,0,0,1,1
s__Clostridium_innocuum,2,0.5465468096277788,0,0,1,1
s__GGB9758_SGB15368,2,0.5446154477954996,0,0,1,1
s__Faecalibacterium_prausnitzii,2,0.5049061992707716,0,0,1,1
s__Alistipes_communis,2,0.46399636795756255,0,1,0,1
s__Odoribacter_splanchnicus,2,0.46090760239127754,0,1,0,1
s__Jutongia_huaianensis,2,0.4359566729606767,0,1,0,1
s__Allisonella_histaminiformans,2,0.43025349250388933,0,1,1,0
s__Ruminococcus_callidus,2,0.4163011750695365,0,1,0,1
s__Clostridium_sp_AT4,2,0.4098998554512666,0,1,1,0
s__Actinomyces_SGB17132,2,0.373355570237178,0,1,0,1
s__Actinomyces_sp_ICM47,2,0.3718921073299681,0,1,0,1
s__Clostridiaceae_bacterium_Marseille_Q4149,2,0.3414592273571394,0,1,1,0
