feature,correlation,correlation_raw,p_value,direction,p_adj
f__FGB3069,0.0157769118786808,-0.0157769118786808,0.8312115156459168,negative,0.9716552169583509
f__Enterobacteriaceae,0.01481010178682916,0.01481010178682916,0.8414142526675845,positive,0.9716552169583509
f__FGB32970,0.01363074498385245,0.01363074498385245,0.8538956822418194,positive,0.9716552169583509
f__FGB1776,0.013180353536723212,0.013180353536723212,0.8586720521957519,positive,0.9716552169583509
f__FGB2997,0.011012350238727665,0.011012350238727665,0.8817324002033549,positive,0.9770361124628513
f__FGB3072,0.009560687622872115,0.009560687622872115,0.897230276678403,positive,0.9770361124628513
f__FGB15212,0.008989173134087584,0.008989173134087584,0.9033427543618963,positive,0.9770361124628513
f__FGB1325,0.008472760839119891,-0.008472760839119891,0.9088708022910245,negative,0.9770361124628513
f__FGB1227,0.006192783470705315,0.006192783470705315,0.9333260793750161,positive,0.9909388003240912
f__Bacteroidaceae,0.0019377240801289816,0.0019377240801289816,0.9791159339940094,positive,0.9931308631932566
f__Turicibacteraceae,0.001212840541823482,-0.001212840541823482,0.986927557348321,negative,0.9931308631932566
f__FGB9989,0.0011217229741652627,0.0011217229741652627,0.9879095785143767,positive,0.9931308631932566
f__FGB4806,0.0007201380660725397,-0.0007201380660725397,0.9922378633395843,negative,0.9931308631932566
f__Tannerellaceae,0.0006372871710014615,0.0006372871710014615,0.9931308631932566,positive,0.9931308631932566
